3,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1
277,1,1,1,1,1,1,1,1,1,1,1,1
331,1,1,1,1,1,1,1,1,1,1,1,1
433,1,1,1,1,1,1,1,1,1,1,1,1
441,1,1,1,1,1,1,1,1,1,1,1,1
451,1,1,1,1,1,1,1,1,1,1,1,1
489,1,1,1,1,1,1,1,1,1,1,1,1
678,1,1,1,1,1,1,1,1,1,1,1,1
717,1,1,1,1,1,1,1,1,1,1,1,1
802,1,1,1,1,1,1,1,1,1,1,1,1
952,1,1,1,1,1,1,1,1,1,1,1,1
1212,1,1,1,1,1,1,1,1,1,1,1,1
1236,1,1,1,1,1,1,1,1,1,1,1,1
1266,1,1,1,1,1,1,1,1,1,1,1,1
1493,1,1,1,1,1,1,1,1,1,1,1,1
1569,1,1,1,1,1,1,1,1,1,1,1,1
1672,1,1,1,1,1,1,1,1,1,1,1,1
2061,1,1,1,1,1,1,1,1,1,1,1,1
2150,1,1,1,1,1,1,1,1,1,1,1,1
2318,1,1,1,1,1,1,1,1,1,1,1,1
2340,1,1,1,1,1,1,1,1,1,1,1,1
2549,1,1,1,1,1,1,1,1,1,1,1,1
2565,1,1,1,1,1,1,1,1,1,1,1,1
2708,1,1,1,1,1,1,1,1,1,1,1,1
2900,1,1,1,1,1,1,1,1,1,1,1,1
2937,1,1,1,1,1,1,1,1,1,1,1,1
4184,1,1,1,1,1,1,1,1,1,1,1,1
4323,1,1,1,1,1,1,1,1,1,1,1,1
4446,1,1,1,1,1,1,1,1,1,1,1,1
4597,1,1,1,1,1,1,1,1,1,1,1,1
6515,1,1,1,1,1,1,1,1,1,1,1,1
10350,1,1,1,1,1,1,1,1,1,1,1,1
12661,1,1,1,1,1,1,1,1,1,1,1,1
13991,1,1,1,1,1,1,1,1,1,1,1,1
67819,1,1,1,1,1,1,1,1,1,1,1,1
256104,1,1,1,1,1,1,1,1,1,1,1,1
261653,1,1,1,1,1,1,1,1,1,1,1,1
392881,1,1,1,1,1,1,1,1,1,1,1,1
437319,1,1,1,1,1,1,1,1,1,1,1,1
677959,1,1,1,1,1,1,1,1,1,1,1,1
836419,1,1,1,1,1,1,1,1,1,1,1,1
988834,1,1,1,1,1,1,1,1,1,1,1,1
1087311,1,1,1,1,1,1,1,1,1,1,1,1
1172883,1,1,1,1,1,1,1,1,1,1,1,1
1493714,1,1,1,1,1,1,1,1,1,1,1,1
1539329,1,1,1,1,1,1,1,1,1,1,1,1
1640510,1,1,1,1,1,1,1,1,1,1,1,1
1792653,1,1,1,1,1,1,1,1,1,1,1,1
1800336,1,1,1,1,1,1,1,1,1,1,1,1
1847324,1,1,1,1,1,1,1,1,1,1,1,1
1901030,1,1,1,1,1,1,1,1,1,1,1,1
1922260,1,1,1,1,1,1,1,1,1,1,1,1
2054666,1,1,1,1,1,1,1,1,1,1,1,1
253,1,1,1,1,1,0,1,1,1,1,1,1
342,1,1,1,1,1,1,1,1,0,1,1,1
465,1,1,1,1,1,1,1,1,1,1,1,0
639,0,1,1,1,1,1,1,1,1,1,1,1
690,1,1,1,1,1,0,1,1,1,1,1,1
693,1,1,1,1,1,1,1,1,1,1,1,0
918,1,1,1,1,1,1,1,1,0,1,1,1
1162,1,1,1,1,1,1,1,1,0,1,1,1
1202,1,1,1,1,1,1,1,1,1,1,1,0
1315,1,1,1,1,1,1,1,1,0,1,1,1
1504,1,1,1,1,1,1,1,1,1,1,1,0
1613,1,1,0,1,1,1,1,1,1,1,1,1
1733,1,1,1,1,1,1,1,1,0,1,1,1
1751,1,1,0,1,1,1,1,1,1,1,1,1
1768,1,1,1,1,1,1,1,1,0,1,1,1
1906,1,1,1,1,1,1,1,1,1,1,1,0
1966,1,1,1,1,1,1,1,1,1,1,0,1
2050,1,1,1,1,1,1,1,1,0,1,1,1
2071,1,1,0,1,1,1,1,1,1,1,1,1
2265,1,1,1,1,1,1,1,1,1,1,1,0
2378,1,1,1,1,1,1,1,1,1,1,1,0
2564,1,1,1,1,1,1,1,1,0,1,1,1
2570,1,1,1,1,1,1,1,1,1,1,1,0
2643,1,1,1,1,1,1,1,1,1,1,1,0
2811,1,1,1,1,1,1,1,1,1,1,0,1
2871,1,1,1,1,1,1,1,1,0,1,1,1
3003,1,1,1,1,1,1,1,1,0,1,1,1
3028,1,1,1,1,1,0,1,1,1,1,1,1
3038,1,1,1,1,1,1,1,1,1,1,1,0
3086,1,1,1,1,1,1,1,1,0,1,1,1
3297,1,1,1,1,1,1,1,1,0,1,1,1
3743,1,1,1,1,1,1,1,1,1,1,1,0
4634,0,1,1,1,1,1,1,1,1,1,1,1
4947,1,1,1,1,1,0,1,1,1,1,1,1
5635,1,1,1,1,1,1,1,1,1,1,1,0
5796,1,1,1,1,1,1,1,1,0,1,1,1
6400,1,1,0,1,1,1,1,1,1,1,1,1
6823,1,1,1,1,1,1,1,1,0,1,1,1
7258,1,1,1,1,1,1,1,1,1,0,1,1
8701,1,1,1,1,1,1,1,1,1,1,1,0
8745,1,1,0,1,1,1,1,1,1,1,1,1
9775,1,1,1,1,1,0,1,1,1,1,1,1
9982,1,1,1,1,1,1,1,1,0,1,1,1
10064,1,1,1,1,1,1,1,1,0,1,1,1
10948,1,1,0,1,1,1,1,1,1,1,1,1
12642,1,1,1,1,1,0,1,1,1,1,1,1
